"-- Select --","-- აირჩიეთ --"
"Close","დახურვა"
"ID","ID"
"Product","პროდუქტი"
"SKU","SKU"
"Price","ფასი"
"Delete","წაშლა"
"Excl. tax:","გადასახადის გარეშე:"
"N/A","არ არის"
"Cancel","გაუქმება"
"Required","სავალდებულო"
"Name","სახელი"
"None","არცერთი"
"Quantity:","რაოდენობა:"
"Canceled","გაუქმებული"
"From","დან"
"To","მდე"
"Availability","ხელმისაწვდომობა"
"In stock","მარაგშია"
"Out of stock","მარაგში არ არის"
"Summary","შეჯამება"
"Availability:","ხელმისაწვდომობა:"
"Quantity","რაოდენობა"
"From:","დან:"
"To:","მდე:"
"Message:","შეტყობინება:"
"Subtotal","ქვეჯამი"
"Select...","აირჩიეთ..."
