"Incl. Tax","გადასახადის ჩათვლით"
"Checkout","შეკვეთის გაფორმება"
"Order","შეკვეთა"
"Authorize and Capture","ავტორიზაცია და ჩამოჭრა"
"ACTIVE","აქტიური"
"ERROR","შეცდომა"
"INACTIVE","არააქტიური"
"Off","გამორთული"
"Credit Card","საკრედიტო ბარათი"
"Expiration Date","ვადის გასვლის თარიღი"
"Reset","განულება"
"Address","მისამართი"
"City","ქალაქი"
"Card Number","ბარათის ნომერი"
"Description","აღწერა"
"Actions","მოქმედებები"
"Delete","წაშლა"
"Shipping Method","მიწოდების მეთოდი"
"Shipping Address","მიწოდების მისამართი"
"Edit","რედაქტირება"
"Payment Method","გადახდის მეთოდი"
"Place Order","შეკვეთის განთავსება"
"Apply Discount Code","ფასდაკლების კოდის გამოყენება"
"Item","ელემენტი"
"Price","ფასი"
"Qty","რაოდენობა"
"Subtotal","ქვეჯამი"
"Email Address","ელ. ფოსტის მისამართი"
"Password","პაროლი"
"Login","შესვლა"
"Forgot Your Password?","პაროლი დაგავიწყდა?"
"edit","რედაქტირება"
"Shipping Method:","მიწოდების მეთოდი:"
"Close","დახურვა"
"This is a required field.","ეს ველი სავალდებულოა."
"Summary","შეჯამება"
"Total","სულ"
"Tax","გადასახადი"
"Shipping","მიწოდება"
"Discount","ფასდაკლება"
"Color","ფერი"
"Active","აქტიური"
