"Filter","ფილტრი"
"From","დან"
"To","მდე"
"Yes","დიახ"
"No","არა"
"Refresh","განახლება"
"Product","პროდუქტი"
"SKU","SKU"
"Total","სულ"
"Price","ფასი"
"Created","შექმნილი"
"Subtotal","ქვეჯამი"
"Coupon Code","კუპონის კოდი"
"Discount","ფასდაკლება"
"Orders","შეკვეთები"
"Items","ელემენტი"
"Tax","გადასახადი"
"Shipping","მიწოდება"
"Canceled","გაუქმებული"
"Tax Amount","გადასახადის თანხა"
"Email","ელ. ფოსტა"
"Products","პროდუქტები"
"Quantity","რაოდენობა"
"Updated","განახლებული"
"ID","ID"
"First Name","სახელი"
"Last Name","გვარი"
"Name","სახელი"
"Reports","ანგარიშები"
"Review","მიმოხილვა"
"Reviews","მიმოხილვები"
"Details","დეტალები"
"Shopping Cart","საყიდლების კალათა"
"Statistics","სტატისტიკა"
"Error","შეცდომა"
"Add to Cart","კალათაში დამატება"
"In stock","მარაგშია"
"Out of stock","მარაგში არ არის"
"Add to Wish List","სასურველთა სიაში დამატება"
"Add to Compare","შესადარებლად დამატება"
"Learn More","გაიგე მეტი"
"Marketing","მარკეტინგი"
"Refunds","თანხის დაბრუნებები"
"Order Total","შეკვეთის ჯამი"
"New","ახალი"
"Dashboard","მთავარი გვერდი"
"Action","მოქმედება"
"Report","ანგარიში"
"Description","აღწერა"
