"Please enter a valid email address.","გთხოვთ, შეიყვანოთ მოქმედი ელ. ფოსტის მისამართი."
"%1 items","%1 ელემენტი"
"message","შეტყობინება"
"Message","შეტყობინება"
"Add to Wish List","სასურველთა სიაში დამატება"
"Qty","რაოდენობა"
"Add to Cart","კალათაში დამატება"
"Availability","ხელმისაწვდომობა"
"In stock","მარაგშია"
"Out of stock","მარაგში არ არის"
"Edit","რედაქტირება"
"Remove Item","ელემენტის წაშლა"
"Remove item","ელემენტის წაშლა"
"Add to Compare","შესადარებლად დამატება"
"Product","პროდუქტი"
"Back","უკან"
"Enabled","ჩართულია"
"No Items Found","ელემენტები ვერ მოიძებნა"
"Quantity","რაოდენობა"
"Action","მოქმედება"
"Delete","წაშლა"
