"Shipments","გადაზიდვები"
"Not found","ვერ მოიძებნა"
"not found","ვერ მოიძებნა"
"View","ნახვა"
"Mark COD reconciled","COD-ის შესრულების მონიშვნა"
"Cancel shipment","გადაზიდვის გაუქმება"
"Carrier","გადამტანი"
"Carrier tracking","გადამტანის თვალყურის დევნება"
"Order ID","შეკვეთის ID"
"Merchant ID","გამყიდველის ID"
"COD","COD"
"%1 GEL","%1 ლარი"
"Created","შექმნილი"
"Updated","განახლებული"
"Delivery address","მიწოდების მისამართი"
"Carrier status","გადამტანის სტატუსი"
"Back to Shipments","გადაზიდვების სიაზე დაბრუნება"
"Enabled","ჩართულია"
"Price","ფასი"
"ID","ID"
"Order #","შეკვეთა #"
"Tracking","თვალყურის დევნება"
"Actions","მოქმედებები"
